source_name,source_domain,url,title,description,published_at,retrieved_at,query_used,article_id,feed_url
New York Times,nytimes.com,https://www.nytimes.com/video/world/middleeast/100000010701285/why-irans-nuclear-program-isnt-the-only-threat.html,Why Iran’s Nuclear Program Isn’t the Only Threat,"While talks with Iran have focused on its nuclear program, Israel’s greater immediate concern is Iran’s rebuilding of its ability to launch missiles at Israel, as it did during last year’s war. Our national security reporter Mark Mazzetti breaks down the latest intelligence.",2026-02-12T19:03:57+00:00,2026-02-16T17:10:31.002569+00:00,rss_keyword_filter,370933b6a253444a,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/commentisfree/2026/feb/12/the-guardian-view-on-israel-and-the-west-bank-the-other-relentless-assault-upon-palestinians,The Guardian view on Israel and the West Bank: the other relentless assault upon Palestinians | Editorial,"A campaign of ethnic cleansing and ‘tectonic’ new legal measures are killing the two-state solution to which other governments pay lip service Protecting archaeological sites. Preventing water theft. The streamlining of land purchases. If anyone doubted the real purpose of the motley collection of new administrative and enforcement measures for the illegally occupied West Bank , Israel’s defence minister spelt it out: “We will continue to kill the idea of a Palestinian state,” Israel Katz said in a joint statement with the finance minister, Bezalel Smotrich. While the world’s attention was fixed upon the annihilation in Gaza, settlers in the West Bank intensified their campaign of ethnic cleansing. More than 1,000 Palestinians have been killed there since October 2023; a fifth of them were children. Many more have been driven from their homes by relentless harassment and the destruction of infrastructure, with entire Palestinian communities erased across vast swathes of land. Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our letters section, please click here . Continue reading...",2026-02-12T19:05:45+00:00,2026-02-16T17:10:28.302873+00:00,rss_keyword_filter,8b70b02243538dc5,https://www.theguardian.com/world/middleeast/rss
New York Times,nytimes.com,https://www.nytimes.com/2026/02/12/world/middleeast/israel-army-reservists-classified-information-bets.html,Israeli Army Reservists Are Suspected of Using Inside Knowledge to Bet,"The authorities said several reservists and a civilian were arrested, and two were charged, after an investigation into the use of classified information to bet on military operations.",2026-02-12T20:38:43+00:00,2026-02-16T17:10:31.002421+00:00,rss_keyword_filter,10b29b5495ebbc35,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/commentisfree/2026/feb/13/seven-of-my-relatives-were-killed-in-gaza-for-me-herzogs-visit-was-never-an-abstract-debate,"Seven of my relatives were killed in Gaza. For me, Herzog’s visit was never an abstract debate | Shamikh Badra","Australia stands at a crossroads as it rolled out the red carpet for some, while greeting others with batons Isaac Herzog’s visit to Australia was not a routine diplomatic engagement. It was an ethical and political test of the Australian state. At the very moment a red carpet was rolled out for a man accused of inciting genocide, peaceful Australian citizens were met with batons while exercising their democratic right to protest. For me, this was never an abstract political debate. Before the visit, I pursued the legal channels that are meant to protect citizens and lodged a formal complaint with the Australian government about the role Herzog played in rhetoric and policies that contributed to the destruction of my family in Gaza. Seven of my relatives were killed. My father died because of a lack of medicine, food and water. My brother, his wife, their four children and her father were also killed. Their bodies remain buried beneath the rubble. Despite the seriousness of this complaint, I have received no response from the government. Continue reading...",2026-02-12T22:58:42+00:00,2026-02-16T17:10:29.600761+00:00,rss_keyword_filter,88e8de98d2fb135c,https://www.theguardian.com/world/gaza/rss
Fox News,foxnews.com,https://www.foxnews.com/world/netanyahu-urges-court-revoke-palestinians-israeli-citizenship-after-convictions-violent-crimes,Netanyahu urges court to revoke Palestinians' Israeli citizenship after convictions for violent crimes,Israeli Prime Minister Benjamin Netanyahu seeks to revoke citizenship of two Palestinian men convicted of terrorism in the first use of a controversial deportation law.,2026-02-13T06:56:12+00:00,2026-02-16T17:10:31.843535+00:00,rss_keyword_filter,d3688b9877d8f133,https://moxie.foxnews.com/google-publisher/world.xml
The Guardian,theguardian.com,https://www.theguardian.com/world/2026/feb/13/israeli-journalists-fear-press-freedom-uk-billionaire-sells-tv-channel-stake,Israeli journalists fear for press freedom if UK billionaire sells TV channel stake,"Union urges Leonard Blavatnik to scrap Channel 13 deal, saying it is part of Netanyahu plan ‘to capture the media’ Israeli journalists have appealed to a British billionaire not to proceed with the sale of a stake in an Israeli television channel, which they warn would represent a severe blow to the independence of the country’s media. Sir Leonard Blavatnik, listed by the Sunday Times as the UK’s third richest person, is selling a nearly 15% share in Channel 13, a commercial channel that has run critical news coverage of Benjamin Netanyahu’s government in recent years, including investigations into the prime minister’s financial dealings. Continue reading...",2026-02-13T07:00:38+00:00,2026-02-16T17:10:28.302676+00:00,rss_keyword_filter,fe8fbba44f497c79,https://www.theguardian.com/world/middleeast/rss
New York Times,nytimes.com,https://www.nytimes.com/2026/02/11/movies/the-voice-of-hind-rajab-all-thats-left-of-you-palestine-36-palestinian-movies.html,"Decades of Palestinian History, Told by 3 Films With Awards Hopes","“The Voice of Hind Rajab,” “All That’s Left of You” and “Palestine 36” each tries to unpack the complex lives of Palestinians.",2026-02-13T13:20:25+00:00,2026-02-16T17:10:31.002770+00:00,rss_keyword_filter,eb2bf1b4d9da50ac,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/film/2026/feb/13/arundhati-roy-quits-berlin-film-festival-over-stay-out-of-politics-comment,Arundhati Roy quits Berlin film festival over ‘stay out of politics’ comment,"Author says she is ‘disgusted’ by claim from jury president Wim Wenders that film-makers should remain apolitical The author Arundhati Roy has withdrawn from the Berlinale after the film festival’s chief juror said film-makers must stay out of politics. The festival got off to a shaky start on Thursday after the competition jury, led by the German film-maker Wim Wenders, fielded questions about the conflict in Gaza. Asked if films can affect political change, Wenders said that “movies can change the world” but “not in a political way” . Continue reading...",2026-02-13T15:02:01+00:00,2026-02-16T17:10:28.937142+00:00,rss_keyword_filter,8c1ec9cb6cf40904,https://www.theguardian.com/world/israel-hamas-war/rss
New York Times,nytimes.com,https://www.nytimes.com/2026/02/13/world/europe/isis-jewish-attack-uk-manchester.html,2 ISIS Supporters Who Planned Attack on Jews in U.K. Get Life Sentences,The case underlines how the Islamic State has seized on rising antisemitism in the wake of the Gaza war to radicalize and encourage would-be assailants.,2026-02-13T17:40:17+00:00,2026-02-16T17:10:31.002130+00:00,rss_keyword_filter,895cb363c2b2f4fe,https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
The Guardian,theguardian.com,https://www.theguardian.com/us-news/2026/feb/13/dispute-future-of-gaza-trump-board-of-peace-eu-un,Bitter dispute between Trump and EU over Gaza’s future breaks out into the open,"EU’s head of foreign policy claims ‘Board of Peace’ is vehicle for Trump with no accountability to Palestinians or UN A bitter dispute between Europe and the US over the future of Gaza has broken out into the open, with the EU’s head of foreign policy, Kaja Kallas, warning that Donald Trump’s “ Board of Peace ” was a personal vehicle for the US president that removed any accountability to Palestinians or the United Nations. Spain’s foreign minister, José Manuel Albares, also accused Trump of trying to bypass the original UN mandate for the board , and said Europe, one of the chief funders of the Palestinian Authority, had been excluded from the process. Continue reading...",2026-02-13T17:51:56+00:00,2026-02-16T17:10:28.302540+00:00,rss_keyword_filter,5a3a35c2e1f2f045,https://www.theguardian.com/world/middleeast/rss
