source_name,source_domain,url,published_at,retrieved_at,article_id,discovery_method,sitemap_url,title,description,fetched_at,http_status,notes,shortlist,relevance_score,relevance_hits
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/over-80-film-workers-slam-berlin-festivals-silence-on-israels-gaza-war,2026-02-18T05:31:59+00:00,2026-02-19T09:33:27+00:00,2aa21f11d673,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Dozens of film workers slam Berlin festival’s silence on Israel’s Gaza war,Tilda Swinton and Javier Bardem among actors and directors expressing dismay at Berlinale's 'anti-Palestinian racism'.,2026-02-19T09:49:15+00:00,200,,1,8,israel|palestin|gaza|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/jesse-jackson-helped-empower-us-arabs-and-raise-palestinian-cause,2026-02-18T01:17:47+00:00,2026-02-19T09:33:27+00:00,87db9fd599bf,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,How Jesse Jackson helped empower US Arabs and lift up the Palestinian cause,Arab American advocates eulogise Jackson as a civil rights giant who embraced their communities and defended Palestine.,2026-02-19T09:49:16+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/hamas-trumps-board-of-peace-must-stop-israels-killing-in-gaza,2026-02-17T23:29:55+00:00,2026-02-19T09:33:27+00:00,a1c1645803a6,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Hamas: Trump’s ‘Board of Peace’ must stop Israel’s killing in Gaza,"'War of genocide against the Strip is still ongoing', Hamas says, warning the board not to act as 'cover'.",2026-02-19T09:49:17+00:00,200,,1,8,israel|gaza|hamas|genocide
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/israeli-settlers-displace-15-palestinian-families-in-west-bank-official,2026-02-17T12:34:19+00:00,2026-02-19T09:33:27+00:00,4465261c1058,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Israeli settlers displace 15 Palestinian families in West Bank: Official,"Israeli settlers forced the families to dismantle homes in the Jordan Valley, a village leader tells Wafa news agency.",2026-02-19T09:49:18+00:00,200,,1,12,israel|israeli|palestin|west bank|pa|settlers
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/mapping-forced-displacements-and-settler-attacks-by-israel-in-the-west-bank,2026-02-18T05:58:30+00:00,2026-02-19T09:33:27+00:00,30821456a2a2,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Mapping forced displacements and settler attacks by Israel in the West Bank,"Israeli military incursions and settler attacks forced more than 37,000 Palestinians to leave their homes in 2025.",2026-02-19T09:49:19+00:00,200,,1,12,israel|israeli|palestin|west bank|israeli military|pa|incursion
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/hamas-rejects-netanyahu-aides-60-day-ultimatum-for-group-to-disarm,2026-02-17T08:20:30+00:00,2026-02-19T09:33:27+00:00,52810987d76f,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Hamas rejects Netanyahu aide’s 60-day ultimatum for group to disarm,"Israeli minister issues 60-day ultimatum to Hamas, threatening renewed war if the group fails to disarm as demanded.",2026-02-19T09:49:20+00:00,200,,1,7,israel|israeli|hamas
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/one-year-on-no-other-land-co-director-says-israeli-attacks-intensifying,2026-02-16T22:48:26Z,2026-02-19T09:33:30+00:00,1d4b7d28eaff,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,"One year on, No Other Land co-director says Israeli attacks intensifying",Oscar-winning director Hamdan Ballal says his family was attacked despite an Israeli court ruling in their favour.,2026-02-19T09:49:21+00:00,200,,1,5,israel|israeli
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/new-israeli-housing-plan-near-jerusalem-slammed-as-disguised-annexation,2026-02-16T19:13:30Z,2026-02-19T09:33:30+00:00,03dcdc2a1faa,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,New Israeli housing plan near Jerusalem slammed as ‘disguised annexation’,"Israel plans to build thousands of settlement homes near Jerusalem, in effect expanding city's borders, activists say.",2026-02-19T09:49:22+00:00,200,,1,12,israel|israeli|jerusalem|jerusalem|pa|settlement
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/israel-to-restart-land-registration-in-west-bank-what-that-means,2026-02-16T14:41:13Z,2026-02-19T09:33:30+00:00,9f4ddda79c9f,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,Israel to restart land registration in West Bank. What that means,"The land registration process will apply to Area C of the occupied West Bank, which is under complete Israeli control.",2026-02-19T09:49:23+00:00,200,,1,8,israel|israeli|west bank|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/16/dangerous-escalation-nations-condemn-israel-over-occupied-west-bank-move,2026-02-16T19:14:13Z,2026-02-19T09:33:30+00:00,0c0c209dc6ad,aj_xml_sitemap,https://www.aljazeera.com/sitemaps/article-new/16-02-2026.xml,‘Dangerous escalation’: Nations condemn Israel over occupied West Bank move,"Egypt, Saudi Arabia and Qatar slam Israel's decision to register occupied West Bank lands as 'state property'.",2026-02-19T09:49:23+00:00,200,,1,5,israel|west bank
